<s>	<s>	1	0
オープン	おーぷん	cdfa	f
夫婦	ふうふ	2e143	f
詳細	しょうさい	4df81	f
メイク	めいく	1c387	f
観光	かんこう	4d58c	f
一生懸命	いっしょうけんめい	1f636	f
派	は	3f36f	f
店員	てんいん	32bc2	f
守る	まもる	2ef9e	f
ショック	しょっく	113be	9
ライト	らいと	1d3e2	9
付き合い	つきあい	22b08	b
お勧め	おすすめ	1a61	f
家庭	かてい	2f9ed	f
驚い	おどろい	55af0	f
現れ	あらわれ	42731	f
広い	ひろい	3298e	f
昼間	ひるま	39b7b	f
貰っ	もらっ	4edf7	b
語っ	ごっ	4e0b4	0
動く	うごく	2777c	f
維持	いじ	482db	f
子供達	こどもたち	2eafb	f
復興	ふっこう	3429f	f
又	また	28ca5	f
最悪	さいあく	3a44b	9
勝っ	かっ	278ab	f
見かけ	みかけ	4cfa1	f
中学	ちゅうがく	20df2	f
空間	くうかん	4656a	f
